user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
D4993_C5_H3_Bin_603_clean	d__Archaea;p__Asgardarchaeota;c__Baldrarchaeia;o__Baldrarchaeales;f__DXJG01;g__DXJG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_021158895.1	95.0	d__Archaea;p__Asgardarchaeota;c__Baldrarchaeia;o__Baldrarchaeales;f__DXJG01;g__DXJG01;s__DXJG01 sp021158895	94.27	0.594	d__Archaea;p__Asgardarchaeota;c__Baldrarchaeia;o__Baldrarchaeales;f__DXJG01;g__DXJG01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_016840485.1, s__DXJG01 sp016840485, 95.0, 93.32, 0.432	77.41	11	0.98546	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D4993_C5_H3_Bin_613	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__WJJB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	76.53	11	0.82456	N/A
D4993_C5_H3_Bin_680	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	84.21	11	0.80641	N/A
D4993_C5_H3_Bin_765_clean	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 86.21, 0.298; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 86.16, 0.297; GCA_018238545.1, s__UBA460 sp018238545, 95.0, 86.14, 0.318; GCA_030611665.1, s__UBA460 sp030611665, 95.0, 85.66, 0.31; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 84.71, 0.228	91.74	11	0.96287	N/A
D4993_C5_H3_Bin_769	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__RDOG01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.42	11	0.71584	N/A
D4993_C5_H4_Bin_11	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification fully defined by topology	N/A	N/A	42.2	11	0.91765	N/A
D4993_C5_H4_Bin_142_clean	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	98.81	0.927	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	98.81	0.927	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	61.42	11	N/A	N/A
D4993_C5_H4_Bin_224_clean	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	52.42	11	0.74568	N/A
D4993_C5_H4_Bin_33	d__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeales;f__Odinarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	44.99	11	0.6921	N/A
D4993_C5_H4_Bin_46	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_029838195.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__JALGVJ01 sp029838195	91.05	0.423	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	45.8	11	0.9798	N/A
D4993_C5_H4_Bin_5	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	GCA_005191425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	99.49	0.784	GCA_005191425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	99.49	0.784	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	44.74	11	N/A	N/A
D4993_C5_LG_Bin_111	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__Heimdallarchaeum;s__Heimdallarchaeum endolithica	GCA_021513715.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__Heimdallarchaeum;s__Heimdallarchaeum endolithica	97.54	0.798	GCA_021513715.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__Heimdallarchaeum;s__Heimdallarchaeum endolithica	97.54	0.798	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__Heimdallarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_021513695.1, s__Heimdallarchaeum aukensis, 95.0, 88.6, 0.457	47.35	11	N/A	N/A
D4993_C5_LG_Bin_146_clean	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	GCA_003662765.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	95.74	0.531	GCA_003662765.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	95.74	0.531	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	41.39	11	N/A	N/A
D4993_C5_LG_Bin_231_clean	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__Asgardarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	57.63	11	0.5795	Genome has more than 11.3% of markers with multiple hits
D4993_C5_LG_Bin_247	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	taxonomic classification fully defined by topology	N/A	N/A	70.0	11	0.97289	N/A
D4993_C5_LG_Bin_279	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.36	11	0.91465	N/A
D4993_C5_LG_Bin_292	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__FT1-004;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.55	11	0.91091	N/A
D4993_C5_LG_Bin_298	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	GCA_005191425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	99.62	0.841	GCA_005191425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	99.62	0.841	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.66	11	N/A	N/A
D4993_C5_LG_Bin_330	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__JALGVJ01 sp029838195	GCA_029838195.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__JALGVJ01 sp029838195	99.78	0.976	GCA_029838195.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__JALGVJ01 sp029838195	99.78	0.976	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	74.67	11	N/A	N/A
D4993_C5_LG_Bin_346	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification fully defined by topology	N/A	N/A	89.93	11	0.92317	N/A
D4993_C5_LG_Bin_37	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	98.72	0.896	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	98.72	0.896	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.86	11	N/A	N/A
D4993_C5_LG_Bin_387_clean	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification fully defined by topology	N/A	N/A	72.48	11	0.9637	N/A
D4993_C5_LG_Bin_413_clean	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 86.43, 0.321; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 85.65, 0.344; GCA_018238545.1, s__UBA460 sp018238545, 95.0, 85.58, 0.361; GCA_030611665.1, s__UBA460 sp030611665, 95.0, 85.19, 0.349; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 84.69, 0.252	87.92	11	0.96413	N/A
D4993_C5_LG_Bin_429	d__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeales;f__Odinarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	63.22	11	0.67593	N/A
D4993_C5_LG_Bin_447	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_019894815.1, s__SOKP01 sp019894815, 95.0, 92.3, 0.522; GCA_030667705.1, s__SOKP01 sp030667705, 95.0, 91.36, 0.498; GCA_019894955.1, s__SOKP01 sp019894955, 95.0, 85.9, 0.264	74.19	11	0.98347	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D4993_C5_LG_Bin_498	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	76.94	11	0.76795	N/A
D4993_C5_LG_Bin_529	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_029838195.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__JALGVJ01 sp029838195	88.28	0.385	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	72.07	11	0.9803	N/A
D4993_C5_LG_Bin_530	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	N/A	N/A	N/A	N/A	N/A	GCA_021498125.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp021498125	89.33	0.627	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.82	11	0.98419	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
D4993_C5_LG_Bin_604	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__RDOG01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	63.61	11	0.71497	N/A
D4993_C5_LG_Bin_609	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.42	11	0.82208	N/A
D4993_C5_LG_Bin_705_clean	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	79.94	11	0.80353	N/A
D4993_C5_LG_Bin_732	d__Archaea;p__Asgardarchaeota;c__Asgardarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	57.1	11	0.33627	N/A
D4993_C5_LG_Bin_739_clean	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.81	11	0.80596	N/A
D4994_C39_H1_Bin_122	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	59.54	11	0.86667	N/A
D4994_C39_H1_Bin_188	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	N/A	N/A	N/A	N/A	N/A	GCA_018238965.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__Harpocratesius sp018238965	87.61	0.302	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Harpocratesius;s__	taxonomic classification defined by topology and ANI	N/A	N/A	73.33	11	0.99093	N/A
D4994_C39_H1_Bin_225	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	taxonomic classification fully defined by topology	N/A	N/A	80.1	11	0.96004	N/A
D4994_C39_H1_Bin_261	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__Prometheoarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	taxonomic novelty determined using RED	N/A	N/A	67.38	11	0.91517	N/A
D4994_C39_H1_Bin_316	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__UBA460;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023705945.1, s__UBA460 sp023705945, 95.0, 86.62, 0.325; GCA_018238545.1, s__UBA460 sp018238545, 95.0, 85.64, 0.352; GCA_030611665.1, s__UBA460 sp030611665, 95.0, 85.47, 0.348; GCA_030668875.1, s__UBA460 sp030668875, 95.0, 85.18, 0.319; GCA_023705905.1, s__UBA460 sp023705905, 95.0, 84.44, 0.252	90.19	11	0.96292	N/A
D4994_C39_H1_Bin_319	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.9	11	0.6309	N/A
D4994_C39_H1_Bin_33	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__WJJB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.78	11	0.85416	N/A
D4994_C39_H1_Bin_335	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_029838195.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__JALGVJ01;s__JALGVJ01 sp029838195	88.99	0.429	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.15	11	0.97925	N/A
D4994_C39_H1_Bin_37	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__MK-D1;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.82	11	0.81596	N/A
D4994_C39_H1_Bin_371	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__SOKP01;g__SOKP01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_019894815.1, s__SOKP01 sp019894815, 95.0, 88.04, 0.343; GCA_030667705.1, s__SOKP01 sp030667705, 95.0, 86.59, 0.321; GCA_019894955.1, s__SOKP01 sp019894955, 95.0, 84.66, 0.197	73.77	11	0.96728	N/A
D4994_C39_H1_Bin_436	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	81.02	11	0.86637	N/A
D4994_C39_H1_Bin_629	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	GCA_003662765.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	96.0	0.693	GCA_003662765.1	95.0	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__B65-G9 sp003662765	96.0	0.693	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	51.61	11	N/A	N/A
D4994_C39_H1_Bin_674	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	GCA_005191425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	98.82	0.881	GCA_005191425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	98.82	0.881	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.84	11	N/A	N/A
D4994_C39_H1_Bin_696_clean	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	98.89	0.924	GCA_019056785.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp019056785	98.89	0.924	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	77.29	11	N/A	N/A
D4994_C39_H1_Bin_733	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__Sigynarchaeaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigynarchaeales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.22	11	0.72858	N/A
